player,position,team,age,club,birth_year,description,image
Boualem Khoukhi,DF,Qatar,32,Al Sadd SC,1990,Boualem Khoukhi is a footballer known for his defensive attributes and ability to break up opponent's attacks. He contributes to his team's defensive stability and distribution.,"https://digitalhub.fifa.com/transform/528f4b84-b65f-4833-8957-5e6280f21876/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Boulaye Dia,FW,Senegal,26,Salernitana,1996,"Boulaye Dia is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues, gaining recognition for his clinical finishing.",
Brandon Aguilera,MF,Costa Rica,19,Asociación Deportiva Guanacasteca,2003,Brandon Aguilera is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Breel Embolo,FW,Switzerland,25,Monaco,1997,Breel Embolo is a forward known for his physical presence and ability to hold up the ball. He contributes to his team's attacking play and provides a target for crosses and through balls.,
Brenden Aaronson,MF,United States,22,Leeds United,2000,Brenden Aaronson is a midfielder known for his technical skills and creative playmaking. He can dictate the tempo of the game and create scoring opportunities for his team.,
Brennan Johnson,FW,Wales,21,Nott'ham Forest,2001,Brennan Johnson is a versatile footballer known for his adaptability in different positions. He offers tactical flexibility and can contribute both in defense and attack.,
Bruno Fernandes,FW,Portugal,28,Manchester Utd,1994,"Bruno Fernandes is a midfielder known for his technical skills, vision, and goal-scoring abilities. He's a playmaker who contributes to both offensive and defensive phases.","https://digitalhub.fifa.com/transform/3e3b2874-9a85-4e3f-8a80-a82a5868d29a/1442847922?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Bruno Guimarães,MF,Brazil,25,Newcastle Utd,1997,Bruno Guimarães is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and defensive stability.,"https://digitalhub.fifa.com/transform/f85c50c3-8376-4121-99e6-7ff9f700dada/1443021835?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Bruno Petković,FW,Croatia,28,Dinamo Zagreb,1994,Bruno Petković is a forward known for his physicality and goal-scoring abilities. He has a natural instinct for finding the net and has showcased his skills in various competitions.,"https://digitalhub.fifa.com/transform/6e955c0c-4e07-44a0-a519-84eb304b7f1a/1442835013?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Bryan Mbeumo,FW,Cameroon,23,Brentford,1999,Bryan Mbeumo is a winger known for his speed and dribbling ability. He contributes to his team's offensive movements with his flair and agility.,"https://digitalhub.fifa.com/transform/f13ebc72-a7bb-4449-af28-b904e5658910/1443092641?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Bryan Oviedo,DF,Costa Rica,32,Real Salt Lake,1990,Bryan Oviedo is a versatile player who can operate as a defender or midfielder. He possesses good ball distribution skills and contributes to maintaining possession.,
Bryan Ruiz,MF,Costa Rica,37,Liga Deportiva Alajuelense,1985,Bryan Ruiz is a footballer known for his technical skills and playmaking abilities. He possesses good passing range and the ability to create scoring opportunities.,
Bukayo Saka,FW,England,21,Arsenal,2001,"Bukayo Saka is a young winger known for his technical skills and versatility. He can operate in various attacking positions, contributing to his team's offensive movements.","https://digitalhub.fifa.com/transform/c88c6fcf-5705-4264-9552-938ef7eaa022/1441944591?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Callum Wilson,FW,England,30,Newcastle Utd,1992,Callum Wilson is a forward known for his goal-scoring prowess and movement in the box. He has an eye for finding scoring opportunities and has showcased his skills in various leagues.,"https://digitalhub.fifa.com/transform/0b7044f2-13bd-40cc-b85a-61a4dc5c37d4/1441945638?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Cameron Carter-Vickers,DF,United States,24,Celtic,1997,Cameron Carter-Vickers is a defender known for his defensive attributes and ability to protect the backline. He's adept at intercepting passes and disrupting opponents' attacks.,
Carlos Gruezo,MF,Ecuador,27,Augsburg,1995,"Carlos Gruezo is a midfielder known for his defensive skills and ball-winning abilities. He contributes to both defense and attack, providing stability in midfield.",
Carlos Martínez,DF,Costa Rica,23,AD San Carlos,1999,Carlos Martínez is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Carlos Soler,MF,Spain,25,Paris S-G,1997,Carlos Soler is a midfielder known for his technical skills and ability to control the midfield. He contributes to ball circulation and has showcased his playmaking abilities.,"https://digitalhub.fifa.com/transform/422d4d27-2116-480f-9651-80561352a2b2/1442551423?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Casemiro,MF,Brazil,30,Manchester Utd,1992,Casemiro is a midfielder known for his defensive attributes and ball-winning abilities. He provides stability to the midfield and contributes to both defense and attack.,"https://digitalhub.fifa.com/transform/dcc8b999-a4e2-4bd6-badb-97b4c448789f/1443025808?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Celso Borges,MF,Costa Rica,34,Liga Deportiva Alajuelense,1988,Celso Borges is a midfielder known for his passing accuracy and ability to dictate the tempo of the game. He contributes to ball circulation and is capable of creating scoring opportunities.,
Charles De Ketelaere,FW,Belgium,21,Milan,2001,Charles De Ketelaere is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,"https://digitalhub.fifa.com/transform/038fdfa1-e6a3-4263-a641-256fa92f9d6c/1442830290?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Charly Rodríguez,MF,Mexico,25,Cruz Azul,1997,Charly Rodríguez is a midfielder known for his passing accuracy and vision on the field. He contributes to both ball circulation and creating scoring opportunities for his team.,
Cheikhou Kouyaté,MF,Senegal,32,Nott'ham Forest,1989,Cheikhou Kouyaté is a midfielder known for his defensive skills and ability to protect the backline. He contributes to maintaining defensive stability and distributing the ball effectively.,
Cho Guesung,FW,Korea Republic,24,Jeonbuk,1998,"Cho Guesung is a footballer known for his technical skills and versatility in attack. He can operate in various attacking positions, contributing to his team's offensive movements.",
Cho Yumin,FW,Korea Republic,26,Daejeon Citizen FC,1996,Cho Yumin is a versatile player who can operate in different positions. His tactical understanding and adaptability make him a valuable asset in various roles on the field.,
Chris Mepham,DF,Wales,25,Bournemouth,1997,Chris Mepham is a defender known for his defensive attributes and ability to read the game. He provides stability to the backline and contributes to defensive solidity.,
Christian Bassogog,MF,Cameroon,27,Shanghai Shen,1995,Christian Bassogog is a winger known for his speed and dribbling ability. He contributes to his team's offensive movements with his flair and agility.,"https://digitalhub.fifa.com/transform/455f54f5-80f0-495c-bb03-5a4fdf188706/1443092549?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Christian Eriksen,MF,Denmark,30,Manchester Utd,1992,"Christian Eriksen is a midfielder known for his technical skills, creativity, and playmaking abilities. He's a key playmaker who contributes to both offensive and defensive phases.","https://digitalhub.fifa.com/transform/e454f07e-015d-4787-81b0-512a6f032c46/1442267640?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Christian Fassnacht,FW,Switzerland,29,Young Boys,1993,Christian Fassnacht is a versatile footballer known for his adaptability in different positions. He offers tactical flexibility and can contribute both in defense and attack.,
Christian Nørgaard,MF,Denmark,28,Brentford,1994,Christian Nørgaard is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and defensive stability.,
Christian Pulisic,FW,United States,24,Chelsea,1998,"Christian Pulisic is a versatile player known for his speed, dribbling ability, and creativity. He can operate in various attacking positions, contributing to offensive movements.","https://digitalhub.fifa.com/transform/4c947748-ad14-4972-ae99-b78ddbf6cba4/1441721640?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Christopher Wooh,DF,Cameroon,21,Rennes,2001,Christopher Wooh is a footballer known for his versatility and ability to play in various positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,"https://digitalhub.fifa.com/transform/b100f560-2fb0-482d-805c-152a08345d4e/1443092734?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Cody Gakpo,FW,Netherlands,23,PSV Eindhoven,1999,Cody Gakpo is a winger known for his technical skills and dribbling ability. He contributes to his team's offensive movements with his flair and agility.,"https://digitalhub.fifa.com/transform/774d8d55-583e-4a5a-9a82-f02191dd35e3/1442169219?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Collins Fai,DF,Cameroon,30,Al-Ta'ee,1992,Collins Fai is a versatile player who can operate as a defender or midfielder. He possesses good ball distribution skills and contributes to maintaining possession.,"https://digitalhub.fifa.com/transform/0373615a-7813-4dfe-bf45-34a64e8da7ff/1443092600?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Connor Roberts,DF,Wales,27,Burnley,1995,Connor Roberts is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Craig Goodwin,MF,Australia,31,Adelaide,1991,Craig Goodwin is a winger known for his speed and dribbling ability. He contributes to his team's offensive movements with his flair and agility.,"https://digitalhub.fifa.com/transform/ca86de50-e8d6-4065-8be5-8501919e6499/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ángel Correa,MF,Argentina,27,Atlético Madrid,1995,"Ángel Correa is a forward known for his dribbling ability, creativity, and goal-scoring prowess. He contributes to offensive movements with flair and agility.","https://digitalhub.fifa.com/transform/1c0d0dd2-244d-4566-972d-f6bf0acd3632/1442770400?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Cristiano Ronaldo,FW,Portugal,37,Manchester Utd,1985,"Cristiano Ronaldo is a legendary forward known for his goal-scoring prowess, speed, and technical skills. He's one of the greatest footballers of all time.","https://digitalhub.fifa.com/transform/8fe3826e-c297-436a-9df9-5db29f5cc92b/1442847713?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Cyle Larin,FW,Canada,27,Club Brugge,1995,Cyle Larin is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
César Azpilicueta,DF,Spain,33,Chelsea,1989,César Azpilicueta is a versatile defender known for his defensive skills and leadership qualities. He provides stability to the backline and contributes to both defense and attack.,"https://digitalhub.fifa.com/transform/2a40ece5-6fa5-423e-81e4-b8f404480d7c/1442552014?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
César Montes,DF,Mexico,25,Monterrey,1997,César Montes is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,
Daichi Kamada,FW,Japan,26,Eint Frankfurt,1996,Daichi Kamada is a footballer known for his technical skills and creativity in the attack. He contributes to his team's offensive movements with his flair and playmaking abilities.,
Daizen Maeda,FW,Japan,25,Celtic,1997,Daizen Maeda is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
